"k","g","lambda","s"
1,0,0.943604310147889,0.235702465280927
1,0,1.03945746537226,0.259767097042022
1,0,1.14504756993828,0.284952980039731
1,0,1.26136372203744,0.311128525545795
1,0,1.38949549437314,0.338144130856369
1,0,1.53064314055636,0.365835700683461
1,0,1.68612883828688,0.394028679903485
1,0,1.85740907463857,0.422542392249668
1,0,2.04608828946601,0.45119446723616
1,0,2.25393390473479,0.479805142857868
1,0,2.48289288056033,0.508201252747328
1,0,2.73510995304121,0.536219740189006
1,0,3.01294772472699,0.563710583362947
1,0,3.31900879591468,0.590539061730254
1,0,3.6561601440852,0.616587338174329
1,0,4.0275599798503,0.641755371730577
1,0,4.43668733097862,0.665961208889642
1,0,4.88737463162443,0.689140726116542
1,0,5.38384362203349,0.711246912040363
1,0,5.93074489501057,0.732248785268567
1,0,6.53320145959378,0.752130044122394
1,0,7.19685673001152,0.770887539285617
1,0,7.92792738945061,0.788529651033972
1,0,8.73326162382844,0.80507464092036
1,0,9.62040327106476,0.820549034886412
1,0,10.5976624867607,0.83498608184188
1,0,11.6741935882346,0.848424319599489
1,0,12.8600808061057,0.860906269201177
1,0,14.1664327466902,0.872477269412495
1,0,15.6054864500707,0.883184455596533
1,0,17.1907220185857,0.893075881268732
1,0,18.9369888895036,0.902199776246967
1,0,20.8606449347196,0.910603932259758
1,0,22.9797096904697,0.918335204947318
1,0,25.3140331524157,0.92543912017065
1,0,27.8854817172629,0.931959572231376
1,0,30.718143012687,0.937938601818986
1,0,33.8385515342824,0.943416242088557
1,0,37.2759372031494,0.948430422103524
1,0,41.062499172443,0.953016917853271
1,0,45.233707447721,0.957209342096296
1,0,49.8286351464731,0.961039165328491
1,0,54.8903245092156,0.964535761191809
1,0,60.4661900907044,0.967726470593761
1,0,66.6084629080916,0.970636679686155
1,0,73.3746797065139,0.973289907643496
1,0,80.8282219252272,0.975707900884995
1,0,89.0389094129674,0.977910731000504
1,0,98.0836544540668,0.979916894174375
1,0,108.047182231813,0.981743410358306
1,0,119.022824477872,0.98340592083162
1,0,131.113393742157,0.984918783112692
1,0,144.432146472728,0.986295162455648
1,0,159.103843927215,0.987547119389096
1,0,175.265920853676,0.98868569293516
1,0,193.069772888325,0.989720979293395
1,0,212.682174729621,0.990662205890671
1,0,234.286842373224,0.99151780078964
1,0,258.086154041808,0.992295457519052
1,0,284.303045930267,0.993002195442599
1,0,313.183100524384,0.993644415822214
1,0,344.996847054972,0.994227953759546
1,0,380.042295636589,0.99475812621776
1,0,418.647728828996,0.995239776336894
1,0,461.174776770826,0.995677314261228
1,0,508.021804691302,0.996074754697733
