"scenario_id","method","median_g","boundary_hit_frac","g_mode","est_version","phase","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p4_rho0.99_exponential","PMM2_RTE_Stable",0,0.897,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","RTE_Oracle",0,0.997,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_exponential","PMM2_RTE_Oracle",0,0.991,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","RTE_CV",0,0.679,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","RTE_Stable",0,0.884,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","PMM2_RTE_CV",0,0.667,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","PMM2_RTE_Stable",0,0.89,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","RTE_Oracle",0,0.988,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_gamma2","PMM2_RTE_Oracle",0,0.992,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","RTE_CV",0,0.668,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","RTE_Stable",0,0.897,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","PMM2_RTE_CV",0,0.643,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","PMM2_RTE_Stable",0,0.878,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","RTE_Oracle",0,0.993,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_lognormal","PMM2_RTE_Oracle",0,0.988,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","RTE_CV",0,0.674,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","RTE_Stable",0,0.869,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p4_rho0.99_normal","PMM2_RTE_CV",0,0.677,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
